Summary,IssueType,Description,Priority,Reporter,Assignee,Labels,Story Points
[V2][CSR][Exchange] Filter accounts for Exchange — custom + annual criteria,Story,V2 CSR: account filtering for custom and annual exchange automation. KB refs: docs/jira-governance/data/jira-export.csv (csr_element_locators common_element_locators unite-automation.jar QA-531 QA-533). Suite paths: Needs Validation in prime-test-automation.,Medium,Swapnil Patil,Venkatesh Mallela,"automation,v2,csr,exchange,jenkins,regression,qa-board-view",
[V2][Member][Exchange] Filter accounts for Exchange — custom + annual criteria,Story,V2 member portal exchange account filtering. KB refs: jira-export.csv QA-530 QA-534 QA-535 QA-536 AnnualExchange.feature. prime-test-automation paths: Needs Validation.,Medium,Swapnil Patil,Venkatesh Mallela,"automation,v2,member,exchange,jenkins,regression,qa-board-view",
[V2][Spike] Ugift — CSR + member coverage data gaps story breakdown,Spike,Research Ugift; no ugift string in qa-automation-kb jira-governance. Inventory prime-test-automation. Deliverables: findings doc recommended stories testcase list smoke-regression tags.,Medium,Swapnil Patil,Venkatesh Mallela,"automation,v2,csr,member,ugift,spike,qa-board-view",
[V2][CSR][Ugift] Automate key Ugift CSR flows post-spike,Story,Implement Ugift CSR flows from spike S2605-03. Tags per spike table. Suite: Needs Validation.,Medium,Swapnil Patil,Venkatesh Mallela,"automation,v2,csr,ugift,jenkins,regression,qa-board-view",
[V2][Member][Ugift] Automate key Ugift member flows post-spike,Story,Implement Ugift member flows from spike S2605-03. Depends S2605-03.,Medium,Swapnil Patil,Venkatesh Mallela,"automation,v2,member,ugift,jenkins,regression,qa-board-view",
[V2][CSR][Spike] CSR Maintenance Screen regression gap analysis matrix,Spike,Inventory CSR maintenance tabs vs automation. KB: backlog stories.md QA-S-V2-011 jira-export PersonalInformation Profile Maintenance stage1-csr-acct-maintenance. Deliverable: matrix missing tabs proposed stories.,Medium,Swapnil Patil,Sunil Godiyal,"automation,v2,csr,spike,regression,qa-board-view",
CSR Maintenance – <TAB_NAME> regression coverage (placeholder 1 of 3),Story,Replace TAB_NAME after spike S2605-06. Template: docs/jira-governance/upcoming-stories/Sprint_26.05_04152026-04282026/SUNIL-TAB-STORY-TEMPLATE.md. Needs Validation until spike completes.,Medium,Swapnil Patil,Sunil Godiyal,"automation,v2,csr,regression,jenkins,qa-board-view",
CSR Maintenance – <TAB_NAME> regression coverage (placeholder 2 of 3),Story,Replace TAB_NAME after spike S2605-06. Template: SUNIL-TAB-STORY-TEMPLATE.md. Needs Validation.,Medium,Swapnil Patil,Sunil Godiyal,"automation,v2,csr,regression,jenkins,qa-board-view",
CSR Maintenance – <TAB_NAME> regression coverage (placeholder 3 of 3),Story,Replace TAB_NAME after spike S2605-06. Template: SUNIL-TAB-STORY-TEMPLATE.md. Needs Validation.,Medium,Swapnil Patil,Sunil Godiyal,"automation,v2,csr,regression,jenkins,qa-board-view",
[V2] Stage 5 smoke suite composition tags pass criteria,Story,Define V2 Stage 5 smoke. KB: backlog stories.md QA-S-PLAT-002 gaps-analysis Stage5 CAT. Exact Ant job: Needs Validation.,Medium,Swapnil Patil,Swapnil Patil,"automation,v2,pipeline,jenkins,smoke,qa-board-view",
[V2] Integrate Stage 5 smoke pipeline schedule on-demand reporting docs,Story,Wire Stage 5 smoke Jenkins or GitLab per program. Depends prior smoke definition. Reporting triage: Needs Validation job name.,Medium,Swapnil Patil,Swapnil Patil,"automation,v2,pipeline,jenkins,gitlab,smoke,qa-board-view",
[V3] Smoke suite framework patterns tags minimal stable set,Story,V3 Maven smoke. KB: stage1-contributions.xml stage1-universal-enroll-integration.xml MEMCONTRIB drafts tags regression dailyrun. Profile names: Needs Validation.,Medium,Swapnil Patil,Swapnil Patil,"automation,v3,pipeline,gitlab,smoke,idp,qa-board-view",
[V3] Integrate V3 smoke into pipeline schedule ENVP gating validate,Story,V3 smoke CI. KB: Env-Pipeline_project QA-600 ACS-5289 UEPIPE stage1-ue-integration-test. CI gating: Needs Validation in live pipeline YAML.,Medium,Swapnil Patil,Swapnil Patil,"automation,v3,pipeline,gitlab,github-actions,smoke,qa-board-view",
[Docs] Confluence V2 V3 smoke suites schedules ownership how to run,Story,Single doc page. Confluence pageId 315559619 referenced in jira-export.csv as hub pattern.,Medium,Swapnil Patil,Swapnil Patil,"automation,v2,v3,pipeline,documentation,qa-board-view",
[V3][Member] Withdrawal flow automation post-IDP,Story,V3 member withdrawal. KB: backlog stories.md QA-S-V3-005 jira-export stage1-withdrawals module mention. Suite XML: Needs Validation.,Medium,Swapnil Patil,Dinesh Kumar,"automation,v3,member,withdrawal,idp,gitlab,regression,qa-board-view",
[V3][Member] Remaining transactions transfers exchanges confirm gaps,Story,V3 member transfers exchanges. KB QA-S-V3-006 QA-S-V3-007 stories.md. Confirm existing coverage in prime-test-automation before coding: Needs Validation.,Medium,Swapnil Patil,Dinesh Kumar,"automation,v3,member,exchange,idp,gitlab,qa-board-view",
[V3] Port IDP login cases Universal Enrollment to Unite V3,Story,Move IDP login coverage. KB: jira-export IDPLogin.feature UniversalEnrollment UEPIPE unite-universal-enrollment. Target Unite V3 paths: Needs Validation.,Medium,Swapnil Patil,Dinesh Kumar,"automation,v3,idp,enrollment,gitlab,regression,qa-board-view",
[V3][Pipeline] Environment pipeline project align automation gates,Story,ENVP pipeline work. KB Env-Pipeline_project README jira-export scheduled_regression_job mention Needs Validation exact job key.,Medium,Swapnil Patil,Dinesh Kumar,"automation,v3,pipeline,gitlab,qa-board-view",
[V3][NTP] Baseline automation suite nightly regression entry,Story,NTP NT Management Platform V3 baseline. No NTP paths in qa-automation-kb: Needs Validation entire scope module URLs.,Medium,Swapnil Patil,Dinesh Kumar,"automation,v3,gitlab,regression,qa-board-view",
[Perf] Forgot Username and Forgot Password in performance framework,Story,Perf auth flows. KB backlog QA-S-PERF-002 003 family stories.md Jenkins. JMX paths: Needs Validation.,Medium,Swapnil Patil,Priti Choudhary,"perf,jenkins,member,idp,qa-board-view",
[Perf] Nightly regression perf package IDP forgot change password Jenkins,Story,Nightly perf package. KB QA-S-PERF-001 QA-461 Jenkins nightly precedent jira-export.csv.,Medium,Swapnil Patil,Priti Choudhary,"perf,jenkins,idp,member,qa-board-view",
[Perf] Change password member profile dynamic header handler validation,Story,Dynamic header handler for change password perf. Business context jira-export change password profile security. Script location: Needs Validation.,Medium,Swapnil Patil,Priti Choudhary,"perf,jenkins,member,idp,qa-board-view",
[Perf] Enrollment flow performance UI or API approach TBD,Story,Enrollment perf. KB no perf repo in governance. Choose UI API or both after inventory: Needs Validation.,Medium,Swapnil Patil,Priti Choudhary,"perf,jenkins,enrollment,v3,qa-board-view",
