repository,platform,unit_tests_run_on_mr_pr,security_checks,code_coverage_generated,coverage_report_published,minimum_threshold_defined,coverage_regression_comparison,merge_blocked_on_coverage_failure,deployment_blocked_on_failure,authorized_bypass_available,bypass_evidence_audit_trail,current_status,evidence,owner,recommended_action
unite-mobile2,GitLab (UniteMSC template),Yes (service CI),SAST via shared template; Snyk org standard,Yes JaCoCo,CI report stage (template),Yes 90% instruction (POM jacoco-check),No branch-vs-main delta,No verified MR coverage gate,Service deploy pipeline (template),General MR approval bypass only,No coverage-specific waiver trail,Verified from repository code,unite-mobile2/pom.xml @ c9c2c28; .gitlab-ci.yml,Pilot coverage-delta gate Phase 1 informational
unite-mobile1,GitLab (UniteMSC template),Yes,SAST; Snyk org standard,Yes JaCoCo,CI report stage,Yes 0% minimum (POM),No,No,Template deploy gate,General approval only,No coverage waiver,Verified from repository code,unite-mobile1/pom.xml @ bfb51aa,Align threshold after pilot learnings
unite-profile,GitLab (UniteMSC template),Yes,SAST; Snyk org standard,Yes JaCoCo,CI report stage,Yes 90% instruction,No,No,Template deploy gate,General approval only,No coverage waiver,Verified from repository code,unite-profile/pom.xml,Phase 2 rollout candidate
unite-account,GitLab (UniteMSC template),Yes,SAST; Snyk org standard,Yes JaCoCo,CI report stage,Yes 50% instruction,No,No,Template deploy gate,General approval only,No coverage waiver,Verified from repository code,unite-account/pom.xml,Phase 2 rollout
unite-auth,GitLab (UniteMSC template),Yes,SAST; Snyk org standard,Yes JaCoCo,CI report stage,Yes 0% minimum,No,No,Template deploy gate,General approval only,No coverage waiver,Verified from repository code,unite-auth/pom.xml,Introduce threshold gradually
unite-bank,GitLab (UniteMSC template),Yes,SAST; Snyk org standard,Yes JaCoCo,CI report stage,Yes 0% minimum,No,No,Template deploy gate,General approval only,No coverage waiver,Verified from repository code,unite-bank/pom.xml,Introduce threshold gradually
unite-transaction,GitLab (UniteMSC template),Yes,SAST; Snyk org standard,Yes JaCoCo,CI report stage,Yes 0% minimum,No,No,Template deploy gate,General approval only,No coverage waiver,Verified from repository code,unite-transaction/pom.xml,Introduce threshold gradually
unite-metadata,GitLab (UniteMSC template),Yes,SAST; Snyk org standard,Yes JaCoCo,CI report stage,Yes 0% minimum,No,No,Template deploy gate,General approval only,No coverage waiver,Verified from repository code,unite-metadata/pom.xml,Introduce threshold gradually
unite-security,GitLab (UniteMSC template),Yes,SAST; Snyk org standard,Yes JaCoCo,CI report stage,Yes 0% minimum,No,No,Template deploy gate,General approval only,No coverage waiver,Verified from repository code,unite-security/pom.xml,Introduce threshold gradually
unite-financial,GitLab (UniteMSC template),Yes,SAST; Snyk org standard,Yes JaCoCo,CI report stage,Properties 80% but check uses 0%,No,No,Template deploy gate,General approval only,No coverage waiver,Verified from repository code,unite-financial/pom.xml,Reconcile POM properties vs jacoco-check
unite-enrollment,GitLab (UniteMSC template),Yes,SAST; Snyk org standard,Yes JaCoCo,CI report stage,Yes 0% minimum,No,No,Template deploy gate,General approval only,No coverage waiver,Verified from repository code,unite-enrollment/pom.xml,Introduce threshold gradually
fees,GitLab (UniteMSC template),Yes,SAST; Snyk org standard,Yes JaCoCo,CI report stage,Yes 0% via properties,No,No,Template deploy gate,General approval only,No coverage waiver,Verified from repository code,fees/pom.xml,Introduce threshold gradually
util-ssnservice,GitLab (UniteMSC template),Yes,SAST; Snyk org standard,Yes JaCoCo,CI report stage,Yes 0% minimum,No,No,Template deploy gate,General approval only,No coverage waiver,Verified from repository code,util-ssnservice/pom.xml,Introduce threshold gradually
unite-accountowner,GitLab (Angular),Yes TDD build job,SAST Fortify template,No JaCoCo (Angular build),No,No,No,No,Build job fail only,General approval only,No coverage waiver,Verified from repository code,accountowner_tdd.yaml @ main,Evaluate Istanbul/lcov if gate needed
api-test-automation,GitLab,MR pipeline via shared includes,Org Snyk standard,No application coverage,No coverage_report,JaCoCo on jsonapi libs only (95% lib unit tests),No,No,No,N/A,N/A,Verified from repository code,.gitlab-ci.yml @ cee0de9; scheduled metadataweb only,Add business regression schedule QA-1405; not code-coverage gate
prime-test-automation,GitLab,MR pipeline via shared includes,Org Snyk standard,No application coverage,No coverage_report,JaCoCo on prime libs only,No,No,No,N/A,N/A,Verified from repository code,.gitlab-ci.yml @ 93f8628; scheduled V3 regression,Retain scheduled gate; separate from JaCoCo
unite-test-automation,GitLab/Jenkins,Not on GitLab MR (Automation monorepo),Unknown,No,No,No,No,No,Jenkins Ant inferred,Unknown,Unknown,Verified from repository code,Automation @ 14e3b62a,Inventory + Jenkins collector
astro-test-automation,Jenkins,No GitLab CI in KB clone,Unknown,No,No,No,No,No,Jenkins ASTRO-TB-REFRESH,Unknown,Unknown,Verified from repository code,astro/bin/build.xml,Confirm Jenkins job scope live
performance-test-automation,Jenkins,Manual/scheduled perf,Unknown,No,No,No,No,No,Perf job fail,Unknown,Unknown,Verified from repository code,AGSUP_IDP_REGRESSION_SUITE docs,Perf gate separate from code coverage
automation-shared-resource,GitLab,Includes only,Org standard,No,No,No,No,No,N/A,N/A,N/A,Verified from repository code,.gitlab-ci.yml,No action
GitHub Actions Mobile2 workflow,GitHub Actions,Deployment validation slice,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Deployment validation,Unknown,Unknown,Verified external,17-MOBILE2-NEXUS-GITHUB-ACTIONS-PIPELINE.md,Clone workflow repo for audit
All ascensus-gs GitLab repos,GitLab,MR pipeline required (org standard),Snyk + SAST where configured,N/A,N/A,N/A,No verified org-wide coverage delta,No verified coverage MR block,N/A,Senior Code Review bypass (general),No coverage exception register,Pending live verification,Org protected-branch policy; API 401 blocked,DevOps,Add coverage check as new required status
